day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,MD,LB,LR,lat,long
6,6,cendrawasih,mariso,4,4,5,-,-,1,-5.155219,119.4137008
6,10,perintis kemerdekaan,tamalanrea,6,4,4,-,-,1,-5.1402715,119.48329437389705
6,11,dg. regge,tallo,5,6,5,-,-,1,-5.1249285,119.433072
5,20,andi mappaodang,tamalate,5,4,5,-,-,1,-5.1732205,119.4158686
4,8,urip sumuharjo,panakkukang,5,4,4,-,-,1,-5.1348243,119.4316818
0,8,veteran utara,makassar,6,4,4,-,-,2,-5.1392193,119.4233132
0,0,metro tanjung bunga,mariso,1,4,4,-,-,1,-5.1523252,119.4054678
0,5,borong raya,manggala,4,4,5,-,-,1,-5.1620883,119.4635886
0,15,inspeksi pam,makassar,5,4,4,-,-,1,-5.1501163,119.4756964
4,9,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
0,22,urip sumuharjo,panakkukang,4,6,7,-,-,-,-5.1348243,119.4316818
3,18,pettarani,panakkukang,1,4,4,-,-,2,-5.1487126,119.4380057
3,17,cendrawasih,mariso,5,4,5,-,-,1,-5.155219,119.4137008
3,6,urip sumuharjo,panakkukang,1,2,4,-,-,1,-5.1348243,119.4316818
2,11,sungai saddang,ujung pandang,5,4,5,-,-,1,-5.1468435,119.4250654
2,11,mesjid raya,bontoala,5,6,5,-,-,1,-5.1333841,119.4274196
0,22,perintis kemerdekaan,panakkukang,4,4,5,-,-,1,-5.1451058,119.4735564
0,17,inspeksi kanal,panakkukang,5,6,1,-,-,1,-5.1313688,119.4518812
4,13,antang raya,manggala,1,4,4,-,-,1,-5.1602384,119.4774127
3,21,urip sumuharjo,panakkukang,5,4,5,-,-,1,-5.1348243,119.4316818
5,10,kima raya,tamalanrea,4,4,9,-,-,1,-5.0948327,119.5073649
4,11,paccerakkang,biringkanaya,6,4,4,-,-,4,-5.1239434,119.5224673
1,9,perintis kemerdekaan,biringkanaya,4,4,5,-,-,1,-5.117784,119.5110136
1,21,toddopuli raya,panakkukang,4,4,7,-,-,-,-5.1634474,119.4522972
5,6,urip sumuharjo,panakkukang,5,6,5,-,-,1,-5.1348243,119.4316818
1,18,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
4,1,somba opu,ujung pandang,5,4,5,-,-,1,-5.1393015,119.4067492
6,13,barawaja,panakkukang,5,4,5,-,-,1,-5.1357031,119.4402319
1,22,sunu,bontoala,4,6,5,-,-,1,-5.1320485,119.4271119
4,7,thamrin,ujung pandang,1,4,4,-,-,2,-5.1365726,119.4091304
5,6,sultan hasanuddin,ujung pandang,4,4,5,-,-,3,-5.1444747,119.4127353
1,8,adipura,panakkukang,5,4,4,-,-,1,-5.1299635,119.4382732
6,16,perintis kemerdekaan,biringkanaya,5,6,7,-,-,-,-5.117784,119.5110136
5,11,sam ratulangi,mariso,5,6,5,-,-,1,-5.1545549,119.4162792
4,10,insinyur sutami,biringkanaya,1,4,4,-,-,1,-5.0679484,119.5246223
6,21,pettarani,panakkukang,5,6,5,-,-,1,-5.1487126,119.4380057
0,22,haji bau,mariso,5,6,7,-,-,-,-5.148609,119.4111046
0,16,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
0,11,pajaiang,biringkanaya,4,4,5,-,-,2,-5.1048027,119.5252166
2,7,perintis kemerdekaan,tamalanrea,1,4,4,-,-,2,-5.1402715,119.48329437389705
4,17,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
0,20,kima raya,biringkanaya,1,4,4,-,-,1,-5.1103799,119.5032456
3,9,perintis kemerdekaan,tamalanrea,6,4,4,-,-,1,-5.1402715,119.48329437389705
0,0,cendrawasih,mamajang,1,4,4,-,-,1,-5.167086,119.4118044
0,2,veteran utara,makassar,5,4,4,-,-,1,-5.1392193,119.4233132
2,11,tamangapa raya,manggala,6,4,4,-,-,2,-5.1767373,119.4843844
2,7,monginsidi,ujung pandang,1,4,4,-,-,1,-5.1479402,119.4186723
0,0,aroepala,rappocini,1,4,4,-,-,1,-5.1724693,119.4530673
1,11,manggis,ujung pandang,1,6,4,-,-,2,-5.1478124,119.4130717
5,21,batara bira,biringkanaya,4,6,5,-,-,2,-5.0884975,119.5063692
6,15,bakung,biringkanaya,5,4,5,-,-,1,-5.0875939,119.5334226
4,16,paccerakkang,biringkanaya,5,6,5,-,-,-,-5.1239434,119.5224673
5,23,villa mutiara,biringkanaya,1,4,4,-,-,1,-5.0748047,119.49676665181792
6,16,bonto duri,tamalate,6,6,4,1,-,-,-5.1752238,119.4269422
6,15,pettarani,rappocini,2,4,4,-,-,1,-5.1510383,119.4374766
6,20,nipa nipa,manggala,6,4,4,-,-,2,-5.1624042,119.5001015
6,21,urip sumuharjo,panakkukang,4,6,7,-,-,-,-5.1348243,119.4316818
6,12,pettarani,panakkukang,1,4,4,-,-,1,-5.1487126,119.4380057
4,0,malengkeri,tamalate,5,6,5,-,-,2,-5.1875239,119.4339559
4,6,veteran utara,makassar,2,4,4,-,-,1,-5.1392193,119.4233132
2,12,sam ratulangi,mariso,5,4,5,-,-,1,-5.1545549,119.4162792
4,9,ance daeng ngoyo,panakkukang,4,4,7,-,-,-,-5.1532628,119.443011
6,19,dangko,tamalate,1,4,4,-,-,1,-5.1811574,119.4128553
3,9,cilallang,rappocini,1,4,4,-,-,2,-5.1587967,119.4327675
0,21,monginsidi,makassar,5,4,7,-,-,2,-5.1486033,119.4231664
2,19,pettarani,rappocini,5,4,5,-,-,2,-5.1510383,119.4374766
2,17,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
4,7,telegraph utama,biringkanaya,4,4,7,-,-,1,-5.13054,119.5149116
0,2,perintis kemerdekaan,biringkanaya,4,4,7,-,-,1,-5.117784,119.5110136
4,16,insinyur sutami,biringkanaya,4,6,9,-,-,-,-5.0679484,119.5246223
3,2,gn. latimojong,makassar,4,4,7,-,-,2,-5.1342049,119.4196956
0,13,amanagapa,ujung pandang,4,6,5,-,-,1,-5.1375303,119.4096708
2,13,metro tanjung bunga,tamalate,5,6,5,-,-,1,-5.1661576,119.3917443
3,15,cendrawasih,mamajang,1,4,4,-,-,2,-5.167086,119.4118044
1,10,andi tonro,tamalate,6,4,4,-,-,1,-5.1719829,119.423857
6,18,perintis kemerdekaan,tamalanrea,4,4,7,-,-,1,-5.1402715,119.48329437389705
5,0,paccerakkang,biringkanaya,5,4,5,-,-,1,-5.1239434,119.5224673
2,23,tamangapa raya,manggala,4,4,5,-,-,2,-5.1767373,119.4843844
3,19,urip sumuharjo,panakkukang,1,4,4,-,-,1,-5.1348243,119.4316818
3,16,pettarani,rappocini,5,6,5,-,-,1,-5.1510383,119.4374766
1,10,profesor abdurrahman basalamah,panakkukang,1,4,4,-,-,1,-5.1471505,119.4492661
3,19,insinyur sutami,biringkanaya,4,6,7,-,-,2,-5.0679484,119.5246223
2,19,tamalanrea raya,tamalanrea,1,4,4,-,-,1,-5.1358197,119.5070307
5,12,lasuloro,manggala,5,6,4,-,-,1,-5.1700155,119.4881657
1,20,urip sumuharjo,panakkukang,5,4,5,-,-,2,-5.1348243,119.4316818
1,22,tamangapa raya,manggala,4,4,5,-,-,3,-5.1767373,119.4843844
4,2,pajukukang,tamalate,5,4,5,-,-,1,-5.2019757,119.3874662
6,9,metro tanjung bunga,mariso,5,4,5,-,-,2,-5.1523252,119.4054678
1,20,gagak,mariso,5,4,4,-,-,1,-5.1607133,119.4106525
6,17,pettarani,rappocini,4,8,5,-,-,1,-5.1510383,119.4374766
4,17,pettarani,rappocini,5,4,5,-,-,1,-5.1510383,119.4374766
6,7,metro tanjung bunga,tamalate,5,4,5,-,-,2,-5.1661576,119.3917443
4,21,kakatua ii,mariso,4,4,5,-,-,3,-5.1615534,119.4153491
5,13,kapasa raya,tamalanrea,1,4,4,-,-,1,-5.1029771,119.4940907
6,13,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
0,7,perintis kemerdekaan,biringkanaya,4,4,7,-,-,1,-5.117784,119.5110136
0,16,urip sumuharjo,panakkukang,5,4,4,-,-,1,-5.1348243,119.4316818
4,13,gotong royong,panakkukang,5,4,5,-,-,1,-5.1444485,119.4368793
4,10,abdullah daeng sirua,manggala,1,4,4,-,-,1,-5.1502262,119.4624701
4,0,andalas,bontoala,4,4,2,-,-,3,-5.1225458,119.417918
2,11,sultan alauddin,tamalate,1,4,4,-,-,2,-5.1682367,119.4209823
0,7,sultan alauddin,tamalate,5,4,5,-,-,1,-5.1682367,119.4209823
2,13,cendrawasih,mamajang,4,4,5,-,-,2,-5.167086,119.4118044
3,6,pettarani,rappocini,1,6,4,-,-,5,-5.1510383,119.4374766
4,11,insinyur sutami,biringkanaya,4,6,7,-,-,-,-5.0679484,119.5246223
3,5,batara bira,biringkanaya,4,0,0,-,-,2,-5.0884975,119.5063692
3,14,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
0,19,perintis kemerdekaan,tamalanrea,5,4,5,-,-,1,-5.1402715,119.48329437389705
3,10,kerung-kerung,makassar,5,6,7,-,-,-,-5.1402349,119.4257622
1,16,pampang raya,panakkukang,4,4,4,-,-,2,-5.136431,119.443415
2,3,sultan alauddin,rappocini,1,4,4,1,-,-,-5.176566,119.4363938
2,19,pettarani,panakkukang,5,4,5,-,-,1,-5.1487126,119.4380057
3,8,banta bantaeng,rappocini,5,6,5,-,-,2,-5.1595024,119.4238876
5,14,metro tanjung bunga,tamalate,1,6,4,-,-,1,-5.1661576,119.3917443
1,7,pannampu,tallo,6,4,4,-,-,1,-5.1184614,119.4264568
5,14,sultan hasanuddin,ujung pandang,5,6,5,-,-,1,-5.1444747,119.4127353
5,8,sultan hasanuddin,ujung pandang,6,6,4,-,-,1,-5.1444747,119.4127353
5,17,toddopuli,panakkukang,4,4,5,-,-,2,-5.1626055,119.4476516
1,11,cendrawasih,mariso,5,4,5,-,-,1,-5.155219,119.4137008
5,21,mesjid muhajirin,panakkukang,5,4,5,-,-,1,-5.1395135,119.4344078
4,4,veteran selatan,mamajang,4,6,7,-,-,1,-5.162773,119.4212589
4,12,perintis kemerdekaan,biringkanaya,4,4,7,-,-,1,-5.117784,119.5110136
6,14,insinyur sutami,biringkanaya,2,4,4,-,-,1,-5.0679484,119.5246223
4,11,kapasa raya,biringkanaya,2,4,4,-,-,1,-5.0945064,119.4925577
4,12,daeng tata raya,tamalate,2,4,4,-,-,2,-5.1850019,119.423432
5,16,raya kampus unhas,tamalanrea,4,4,5,-,-,1,-5.1377601,119.4886605
0,10,metro tanjung bunga,tamalate,4,5,7,1,-,1,-5.1661576,119.3917443
0,20,pettarani,rappocini,4,4,5,-,-,2,-5.1510383,119.4374766
0,2,urip sumuharjo,panakkukang,4,6,7,-,-,-,-5.1348243,119.4316818
2,3,gunung bawakaraeng,bontoala,5,4,4,-,-,1,-5.1348657,119.4243319
2,3,gunung bawakaraeng,bontoala,4,4,7,1,-,-,-5.1348657,119.4243319
4,19,kima iii,biringkanaya,2,4,4,-,-,1,-5.1064167,119.5065503
0,1,metro tanjung bunga,tamalate,2,4,4,-,-,1,-5.1661576,119.3917443
3,1,urip sumuharjo,panakkukang,4,6,5,-,-,1,-5.1348243,119.4316818
2,9,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
0,9,andi mappaodang,tamalate,1,4,4,-,-,1,-5.1732205,119.4158686
3,18,dg. regge,tallo,5,4,5,-,-,1,-5.1249285,119.433072
1,0,pettarani,rappocini,4,2,5,-,-,3,-5.1510383,119.4374766
3,21,andi tonro,tamalate,5,6,7,-,-,-,-5.1719829,119.423857
2,17,sultan alauddin,tamalate,4,6,5,-,-,2,-5.1682367,119.4209823
2,6,dr. leimena,manggala,4,6,5,-,-,1,-5.1499864,119.4710753
2,10,nipa nipa,manggala,4,6,5,-,-,1,-5.1624042,119.5001015
0,19,abdullah daeng sirua,panakkukang,5,4,5,-,-,1,-5.1513443,119.4494392
2,20,sunu,tallo,1,4,4,-,-,1,-5.1247334,119.4296097
4,6,andi mappaodang,tamalate,1,6,4,-,-,1,-5.1732205,119.4158686
5,17,metro tanjung bunga,tamalate,5,6,7,-,-,1,-5.1661576,119.3917443
1,15,datuk ditiro,tallo,5,4,7,-,-,-,-5.1272385,119.431099
1,9,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
4,3,insinyur sutami,biringkanaya,5,6,4,-,-,-,-5.0679484,119.5246223
1,5,jenderal sudirman,ujung pandang,4,4,5,-,-,1,-5.1345222,119.4137962
1,8,adyaksa,panakkukang,5,6,5,-,-,1,-5.1572501,119.4479499
1,18,bakung,biringkanaya,1,4,4,-,-,1,-5.0875939,119.5334226
6,14,janggo paropo,panakkukang,4,4,5,-,-,2,-5.1492387,119.4589298
5,23,sungai saddang,makassar,2,4,4,-,-,1,-5.1468435,119.4250654
1,7,urip sumuharjo,panakkukang,4,4,7,-,-,1,-5.1348243,119.4316818
6,21,kaswari,mariso,5,6,7,-,-,-,-5.1521162,119.4147322
4,8,daeng tata raya iii,tamalate,2,4,4,-,-,1,-5.1850019,119.423432
0,11,urip sumuharjo,panakkukang,6,4,4,-,-,2,-5.1348243,119.4316818
0,19,thamrin,ujung pandang,4,1,7,-,-,1,-5.1365726,119.4091304
2,14,satelit i,biringkanaya,4,4,5,-,-,1,-5.1290339,119.510128
2,11,pettarani,panakkukang,5,6,5,-,-,1,-5.1487126,119.4380057
2,17,jipang raya,rappocini,4,6,5,-,-,1,-5.1778861,119.4504384
3,15,letjen hertasning,rappocini,1,4,4,-,-,1,-5.1630661,119.4444202
3,19,katimbang,biringkanaya,2,4,4,-,-,1,-5.1389419,119.519489
2,22,perintis kemerdekaan,biringkanaya,4,6,7,-,-,-,-5.117784,119.5110136
3,18,veteran utara,makassar,6,4,4,-,-,1,-5.1392193,119.4233132
3,0,puri raya,manggala,4,4,7,-,-,2,-5.169771,119.4641834
5,3,sungai walanae,makassar,4,4,7,1,-,1,-5.1477926,119.4238128
0,18,parumpa,biringkanaya,5,4,4,-,-,1,-5.117091,119.5096487
3,9,pettarani,rappocini,5,4,5,-,-,1,-5.1510383,119.4374766
5,17,waduk tunggu pampang,manggala,5,4,5,-,-,2,-5.169419250000001,119.46930765542896
5,19,jenderal sudirman,ujung pandang,5,4,5,-,-,1,-5.1345222,119.4137962
5,17,andi mappanyukki,mariso,5,4,4,1,-,-,-5.1521162,119.4147322
5,4,perintis kemerdekaan,tamalanrea,2,4,4,-,-,1,-5.1402715,119.48329437389705
1,11,insinyur sutami,biringkanaya,2,4,4,-,-,1,-5.0679484,119.5246223
5,14,perintis kemerdekaan,biringkanaya,2,4,4,-,-,1,-5.117784,119.5110136
6,23,sawerigading,ujung pandang,4,6,7,-,-,-,-5.1408703,119.4127661
3,13,tamalanrea raya,tamalanrea,2,4,4,-,-,2,-5.1358197,119.5070307
5,17,manunggal,tamalate,5,4,4,-,-,1,-5.1694219,119.4055125
6,15,urip sumuharjo,panakkukang,2,4,4,-,-,1,-5.1348243,119.4316818
1,23,insinyur sutami,tamalanrea,2,4,4,-,-,1,-5.0891074,119.4804065
