"no","day","date","time","address","district","accident_types","suspect_age","victim_age","suspect_vehicle","victim_vehicle","MD","LB","LR","material_loss"
"913","Wednesday","2018-07-25","19:00","Urip Sumuharjo","Panakkukang","TK","60","25","R4","R2","-","-","1","500,000"
"914","Wednesday","2018-08-01","6:30"," Perintis Kemerdekaan","Biringkanaya","OC","54","-","R2","-","-","-","1","-"
"915","Wednesday","2018-08-01","20:00"," Batua Raya ","Manggala","TL","-","36","R2","R2","-","-","2","100,000"
"916","Wednesday","2018-08-01","11:00"," Pettarani","Rappocini","TM","19","75","R2","-","1","-","-","1,000,000"
"917","Thursday","2018-08-02","16:30"," Daeng Tata Raya III","Tamalate","TM","29","7","R4","-","-","-","1","-"
"918","Thursday","2018-08-02","3:00","Urip Sumuharjo","Makassar","TL","-","18","R2","R2","1","-","-","300,000"
"919","Thursday","2018-08-02","13:00"," Cendrawasih","Mamajang","TL","-","17","R4","R2","-","-","1","200,000"
"920","Tuesday","2018-07-31","16:00"," Boulevard","Panakkukang","TL","-","52","R2","R2","-","-","1","500,000"
"921","Wednesday","2018-08-01","15:30"," Perintis Kemerdekaan","Tamalanrea","OC","54","-","R2","-","-","-","1","200,000"
"922","Saturday","2018-07-21","23:00"," Pengayoman ","Panakkukang","TB","-","20","R2","R2","-","-","2","500,000"
"923","Friday","2018-08-03","13:30"," Sungai Saddang","Ujung Pandang","TL","24","-","R2","R2","-","-","1","100,000"
"924","Friday","2018-07-06","8:35"," Andi Mappanyukki","Mariso","TK","53","37","R4","R2","-","-","2","1,500,000"
"925","Thursday","2018-08-02","11:00"," Tol Reformasi","Tallo ","TK","36","29","R4","R10","-","-","1","30,000,000"
"926","Saturday","2018-08-04","12:00"," Karunrung Raya","Rappocini","TM","13","45","R2","-","-","-","1","100,000"
"927","Sunday","2018-08-05","18:00"," Kapasa Raya ","Tamalanrea","TK","58","47","R2","R10","1","-","-","1,000,000"
"928","Friday","2018-08-03","21:00"," Veteran Selatan","Makassar","TM","-","48","R2","-","-","-","1","-"
"929","Saturday","2018-08-04","16:30"," Andi Tadde","Tallo","OC","-","11","R4","-","-","-","1","-"
"930","Monday","2018-08-06","9:45"," Jenderal Ahmad Yani","Ujung Pandang","TK","55","20","R2","R2","-","-","1","500,000"
"931","Saturday","2018-08-04","16:30"," Chairil Anwar","Ujung Pandang","OC","18","-","R2","-","-","-","1","500,000"
"932","Friday","2018-08-03","11:30"," Kapasa Raya ","Tamalanrea","OC","20","-","R2","-","-","-","1","200,000"
"933","Monday","2018-08-06","6:30"," Perintis Kemerdekaan","Tamalanrea","TK","46","-","R2","R2","-","-","1","100,000"
"934","Sunday","2018-08-05","19:30"," Batua Raya XII","Manggala","OC","51","-","R2","-","-","-","1","300,000"
"935","Thursday","2018-08-02","18:00"," Abdullah Daeng Sirua","Panakkukang","TL","-","39","R2","R2","-","-","1","300,000"
"936","Sunday","2018-08-05","14:30"," Sungai Saddang Baru ","Makassar","TK","39","24","R2","R4","-","-","1","200,000"
"937","Tuesday","2018-08-07","19:30"," Jenderal Ahmad Yani","Ujung Pandang","TB","36","40","R4","R2","-","-","1","20,000,000"
"938","Tuesday","2018-08-07","9:00"," Raya Kampus Unhas","Tamalanrea","TK","64","45","R4","R2","-","-","1","2,500,000"
"939","Monday","2018-08-06","16:00"," Paccerakkang","Biringkanaya","TK","28","54","R2","R4","-","-","1","1,000,000"
"940","Monday","2018-08-06","17:00"," Manyikkoaya","Biringkanaya","TB","13","17","R2","R2","-","-","3","700,000"
"941","Tuesday","2018-08-07","5:30","Urip Sumuharjo","Panakkukang","TK","52","39","T","R4","-","-","1","10,000,000"
"942","Wednesday","2018-08-08","18:30"," Daeng Tata Raya","Tamalate","TK","23","32","R2","R2","-","-","2","200,000"
"943","Tuesday","2018-08-07","15:20"," Pajaiang","Biringkanaya","OC","14","-","R2","-","-","-","1","100,000"
"944","Wednesday","2018-08-08","16:00"," Pintu Bandar Udara Internasional Sultan Hasanuddin","Biringkanaya","TL","-","32","R4","R2","-","-","1","500,000"
"945","Wednesday","2018-08-08","17:45"," Paccerakkang","Biringkanaya","TL","-","5","R2","-","-","-","1","-"
"946","Tuesday","2018-08-07","15:30"," Metro Tanjung Bunga","Mariso","TM","17","27","R2","-","-","-","1","-"
"947","Tuesday","2018-08-07","10:00"," Daeng Tata Raya I","Tamalate","TM","45","5","R4","-","-","-","1","-"
"948","Wednesday","2018-08-08","16:30"," Perintis Kemerdekaan ","Tamalanrea","OC","25","-","R2","-","-","-","1","100,000"
"949","Thursday","2018-08-09","7:00"," Pajaiang","Biringkanaya","OC","16","-","R2","-","-","-","1","200,000"
"950","Thursday","2018-08-09","7:30"," Mesjid Raya","Bontoala","OC","19","-","R2","-","-","-","-","-"
"951","Tuesday","2018-08-07","6:10"," Nipa Nipa","Manggala","OC","35","12","R2","-","-","-","2","50,000"
