no,day,date,time,address,district,accident_types,suspect_age,victim_age,suspect_vehicle,victim_vehicle,MD,LB,LR,material_loss
2053,Wednesday,2019-05-29,10:30, Perintis Kemerdekaan km 09,Tamalanrea,TL,-,40,R2,R2,-,-,2,-
2054,Wednesday,2019-05-29,13:00, Letjen Hertasning,Rappocini,TL,-,63,R4,R2,-,-,1,"100,000"
2055,Wednesday,2019-05-29,17:45, Rajawali,Mariso,TK,21,24,R2,R2,-,-,2,"200,000"
2056,Friday,2019-05-31,8:30, Sanrangan,Biringkanaya,TK,69,40,R2,R2,1,-,-,"50,000"
2057,Thursday,2019-05-30,17:45, Berua Raya,Biringkanaya,TM,15,50,R2,-,-,-,2,-
2058,Saturday,2019-06-01,16:30, Perintis Kemerdekaan,Tamalanrea,TK,25,69,R4,R2,-,-,2,"500,000"
2059,Sunday,2019-06-02,8:00,Urip Sumuharjo,Panakkukang,TL,-,22,R4,R2,1,-,-,"500,000"
2060,Sunday,2019-06-02,9:00, Pettarani,Panakkukang,TK,28,25,R2,R2,-,-,2,"1,000,000"
2061,Friday,2019-05-31,13:00, Sunu,Tallo,OC,43,14,R2,-,-,-,-,"100,000"
2062,Sunday,2019-06-02,17:00, Maccini Baru,Makassar,TK,48,19,R2,R2,-,-,2,"250,000"
2063,Monday,2019-06-03,9:30,Urip Sumuharjo,Bontoala,TL,-,27,R2,R2,-,-,1,"100,000"
2064,Tuesday,2019-06-04,4:00, Gunung Bulusaraung,Bontoala,TK,-,50,R2,R2,-,-,1,"1,000,000"
2065,Monday,2019-06-03,20:00, Veteran Selatan,Mamajang,TL,-,65,R2,-,-,-,1,-
2066,Monday,2019-06-03,10:00,Urip Sumuharjo,Panakkukang,TL,-,65,R4,R2,-,-,1,"100,000"
2067,Monday,2019-06-03,13:00, Paccerakkang,Biringkanaya,TM,59,24,R4,-,-,-,1,-
2068,Wednesday,2019-06-05,10:00, Sultan Alauddin,Rappocini,TB,65,26,R4,R4,-,-,1,"10,000,000"
2069,Wednesday,2019-06-05,12:45, Yos Sudarso,Bontoala,TL,-,17,R2,R2,1,-,-,"1,000,000"
2070,Wednesday,2019-06-05,18:00,Urip Sumuharjo,Panakkukang,TK,17,11,R2,Rro,-,-,2,"1,000,000"
2071,Tuesday,2019-06-04,12:30, Paccerakkang,Biringkanaya,TL,-,24,R3,R2,-,-,1,"250,000"
2072,Wednesday,2019-06-05,9:00, A.R. Hakim,Tallo,TL,-,17,R2,R2,-,-,1,"300,000"
2073,Wednesday,2019-06-05,1:00, Monumen Emmy Saelan,Rappocini,TK,58,21,R2,R2,-,-,3,"500,000"
2074,Wednesday,2019-06-05,21:30,Urip Sumuharjo,Panakkukang,TL,-,18,R2,R2,-,-,1,"300,000"
2075,Wednesday,2019-06-05,3:00, Al Markaz,Bontoala,TL,-,15,R2,-,-,-,1,-
2076,Wednesday,2019-06-05,12:30, Tupai,Mamajang,TL,-,23,R2,R2,-,-,1,"200,000"
2077,Friday,2019-06-07,7:00, Gatot Subroto,Tallo,TK,18,51,R2,R2,-,-,2,"500,000"
2078,Friday,2019-06-07,5:30, Metro Tanjung Bunga,Tamalate,T,15,-,R2,-,-,1,-,"1,000,000"
2079,Friday,2019-06-07,8:00,Sultan Dg Raja,Bontoala,TK,16,54,R2,R2,1,-,1,"1,000,000"
2080,Friday,2019-06-07,5:00, Veteran Utara,Bontoala,TM,36,67,R4,-,-,-,1,-
2081,Wednesday,2019-06-05,2:00, Nipa Nipa,Manggala,TL,-,28,R2,R2,-,-,1,"50,000"
2082,Friday,2019-06-07,10:30,Monumen Emmy Saelan,Rappocini,TK,19,22.8,R2,R4,-,-,3,"5,000,000"
2083,Sunday,2019-04-21,2:30, Pengayoman,Panakkukang,TK,42,45,R2,R4,-,-,1,"2,000,000"
2084,Friday,2019-06-07,23:30,Haji Kalla,Panakkukang,TL,-,26.5,R2,R2,-,-,2,"200,000"
2085,Sunday,2019-06-09,10:00, Pajaiang,Biringkanaya,TL,-,24,R4,R2,-,-,1,"100,000"
2086,Sunday,2019-06-09,8:00, Perintis Kemerdekaan,Tamalanrea,TL,-,57,R2,R2,-,-,1,"200,000"
2087,Friday,2019-05-17,11:00, Insinyur Sutami,Tamalanrea,TL,-,65,R4,R2,-,-,1,"200,000"
2088,Tuesday,2019-06-04,14:30, Kerukunan Timur,Tamalanrea,TK,54,61,R4,R2,-,-,2,-
2089,Sunday,2019-06-09,14:00, Bougenville,Panakkukang,TL,-,41,R2,R2,-,-,1,"300,000"
2090,Tuesday,2019-06-11,21:30, Botolempangan,Ujung Pandang,TK,45,-,R4,R2,-,-,-,"500,000"
