day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Sunday,Morning,perintis kemerdekaan,tamalanrea,TM,R2,NOV,-5.1402715,119.48329437389705
Friday,Night,cendrawasih,mamajang,OC,R2,NOV,-5.167086,119.4118044
Friday,Night,veteran utara,makassar,TL,R2,NOV,-5.1392193,119.4233132
Saturday,Morning,tamangapa raya,manggala,TM,R2,NOV,-5.1767373,119.4843844
Saturday,Morning,monginsidi,ujung pandang,OC,R2,NOV,-5.1479402,119.4186723
Friday,Night,aroepala,rappocini,OC,R2,NOV,-5.1724693,119.4530673
Monday,Morning,manggis,ujung pandang,OC,R4,NOV,-5.1478124,119.4130717
Tuesday,Evening,batara bira,biringkanaya,TK,R4,R2,-5.0884975,119.5063692
Wednesday,Afternoon,bakung,biringkanaya,TL,R2,R2,-5.0875939,119.5334226
Thursday,Afternoon,paccerakkang,biringkanaya,TL,R4,R2,-5.1239434,119.5224673
Tuesday,Night,villa mutiara,biringkanaya,OC,R2,NOV,-5.0748047,119.49676665181792
Wednesday,Afternoon,bonto duri,tamalate,TM,R4,NOV,-5.1752238,119.4269422
Wednesday,Afternoon,pettarani,rappocini,T,R2,NOV,-5.1510383,119.4374766
Wednesday,Evening,nipa nipa,manggala,TM,R2,NOV,-5.1624042,119.5001015
Wednesday,Evening,urip sumuharjo,panakkukang,TK,R4,R4,-5.1348243,119.4316818
Wednesday,Afternoon,pettarani,panakkukang,OC,R2,NOV,-5.1487126,119.4380057
Thursday,Night,malengkeri,tamalate,TL,R4,R2,-5.1875239,119.4339559
Thursday,Morning,veteran utara,makassar,T,R2,NOV,-5.1392193,119.4233132
Saturday,Afternoon,sam ratulangi,mariso,TL,R2,R2,-5.1545549,119.4162792
Thursday,Morning,ance daeng ngoyo,panakkukang,TK,R2,R4,-5.1532628,119.443011
Wednesday,Evening,dangko,tamalate,OC,R2,NOV,-5.1811574,119.4128553
Sunday,Morning,cilallang,rappocini,OC,R2,NOV,-5.1587967,119.4327675
Friday,Evening,monginsidi,makassar,TL,R2,R4,-5.1486033,119.4231664
Saturday,Evening,pettarani,rappocini,TL,R2,R2,-5.1510383,119.4374766
Saturday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Thursday,Morning,telegraph utama,biringkanaya,TK,R2,R4,-5.13054,119.5149116
Friday,Night,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.117784,119.5110136
